projectName,projectId,roundType,roundDate,raiseAmount,sourcEuropean UnionRL,
Braintrust,8mk3xj,Seed,1/1/2018,6,,"Ausum, Cambrian, Finventure, Firework, FounderPartners, Future\Perfect, Galaxy Digital, Hack, HOF, Homebrew, IDEO CoLab, James Everingham, Kevin Moore, Kindred, Scott Belsky, Stacy Brown-Philpot, 'True, Uprising, Upshift, Vy"
Braintrust,8mk3xj,Series A,10/1/2020,18,https://www.coindesk.com/business/2020/10/01/braintrust-raises-18m-to-bring-defi-thinking-to-the-gig-economy/,"Pantera, Multicoin, Galaxy Digital, Omidyar, 6ixth Event, ACME, Blockchange, Broslyn, Coinbase, Fin, Free Company, Galaxy Interactive, Hashkey, HOF, John GhEuropean Unionr, Kartheek Pulavarthi, Mike Jarmuz, Narwhal, Referent, Sax, SBX, Shervin Pishevar, Tiger Global, TQ, Variant"
Braintrust,8mk3xj,Series A,10/1/2020,18,https://www.coindesk.com/business/2020/10/01/braintrust-raises-18m-to-bring-defi-thinking-to-the-gig-economy/,"Pantera, Multicoin, Galaxy Digital, Omidyar"
Braintrust,8mk3xj,Series B,12/1/2021,100,https://www.rEuropean Unionters.com/markets/funds/coatue-tiger-global-buy-100m-talent-network-braintrusts-tokens-2021-12-09/,"Tiger Global, Coatue"
Braintrust,8mk3xj,Series B,12/1/2021,100,https://www.rEuropean Unionters.com/markets/funds/coatue-tiger-global-buy-100m-talent-network-braintrusts-tokens-2021-12-09/,"Coatue, Tiger Global"
Brastorne,g7czmv,Accelerator,5/1/2022,0.1,https://www.brastorne.com/blogs/brastorne-connects-the-unconnected-in-drc,Google
Brastorne,g7czmv,Accelerator,9/1/2022,0.25,https://www.bwtechzone.com/2022/09/brastorne-enterprises-wins-250000.html,MIT Endowment
Brastorne,g7czmv,Accelerator,,0.5,https://igrownews.com/2022-ayute-africa-challenge-announces-winners-thriveagric-digicow-and-brastorne-enterprises-to-receive-usd-1-5-million-in-grants-and-expert-support/,Thrive
Bware Labs,udxaxs,Seed,5/1/2021,1.2,,"Spartan, Ascensive, GBV, MorningStar"
Bware Labs,udxaxs,Series A,2/1/2022,6,https://www.accesswire.com/689805/bware-labs-raises-6m-in-series-a-funding-round-to-boost-blockchain-api-infrastructure,"Hypersphere, Infinity, Woodstock, Figment, Axia8, CoinGecko, Nexo, Connext Financial, Kosmos, Impossible Finance, Nabais, Aventures, Subsquid, Stakeborg, Spartan, Ascensive, GBV, MorningStar"
Cedalio,w0adea,Preseed,8/1/2022,,,"Diaspora, Rebel, Ripio, YC"
CESS,qdkzic,Series A,1/28/2023,8,https://cointelegraph.com/news/decentralized-storage-platform-cess-raises-8-million-13-vc-funds,"HTX, Infinity, DWF, Mentha, Vespertine, Web3 Capital Foundation, Singchain Investment, 7 Oâ€™Clock, SolrDAO, FishDAO, One Block, Winkrypto, Polkadot"
ChainML,ae73hb,Seed,11/1/2022,4,https://www.theblock.co/post/173081/decentralized-machine-learning-protocol-chainml-raises-4m-led-by-iosg-ventures,"Alliance, Hashkey, IOSG, LongHash, NxGen xyz, SNZ"
cheqd,o6gk4u,Seed,9/1/2021,2.6,https://cheqd.io/blog/cheqd-raises-2-6-million-to-drive-the-uptake-of-digital-ids/,"3GR, Accelerate Web 3.0 Labs, Bixin, BlockUnify, Blockwall, Bluenode, CMCC Global, Dion, DoublePeak, Efiko, Evernym, Exnetwork, Factblock, Future Now, Grizzly, Hidden Muse, Ignite, Kredit, SkyVision, Tendermint, TitanBlock, Torque, Outlier"
Cindicator,cor8db,Preseed,8/1/2017,0.3,,"100&100, Bridge Link, Igor Shirokov, Meta, Mikhail Stepan, WolfEdge, GenerationS, European Uniongene M., Julian Zegelman, Nikolai Belykh"
Cindicator,cor8db,Seed,10/12/2017,15,https://icodrops.com/cindicator/,
ColdStack,dka3hq,Preseed,3/1/2021,0.6,https://medium.com/coldstack/coldstack-closes-first-investment-round-with-leading-blockchain-vcs-47036cd991ed,"AlphaChain, Ankr, AU21, Block Dream, BlockGroup, Digital Finance, Drops, GBV, Genblock, Istari, JRR, Kenetic, MorningStar, OKX, Paribus, Particle XYZ, Prom, Solidity, Spark Digital, Stacking Ventures, Staked.vc, Tenzor, Vendetta, X21"
Connect3,hxfsp3,Preseed,6/1/2022,,https://medium.com/metaweb-vc/connect3-announces-strategic-investment-from-metaweb-ventures-c1a1ddb48294,"Big Brain, Cogitent, MetaWeb, Newtribe, No Limit, NEAR"
Cortex Labs,pd82aa,Seed,4/1/2020,4,,"Arrington, ASB, BITMAIN, BitValue, Bixin, Blockchain Capital, BlocTech, BTX, Ceyuan, Connect, Continue, Dekrypt, DFund, DHVC, Du, FBG, Fundamental Labs, Global Blockchain, Hayek, Huobi, IOSG, Jove, Kenetic, LinkVC, Metropolis, Nirvana, OK Group, Origin, ZhenFund, ZMT"
Covalent,cfxf9v,Seed,10/1/2020,3.1,https://finance.yahoo.com/news/etherEuropean Unionm-data-analytics-startup-covalent-160010982.html,"1kx, AU21, Brilliance, CoinGecko, Etienne vantKruys, Mechanism, Spark Digital, Woodstock, Victory Square"
Covalent,cfxf9v,Seed,3/1/2021,2,https://www.coindesk.com/markets/2021/03/24/decentralized-data-project-covalent-raises-another-2m/,"Almora, Bellhip, Binance, Bison, Black Venture, BlackDragon, Chorus One, Coinbase, Creative Destruction Lab, CSP, DeltaHub, Evangelion, Felicis, Figment, Hashed, High Naut, Hypersphere, LedgerPrime, MorningStar, ZBS"
Crewdle,zy7wfi,Seed,10/1/2021,2.15,https://betakit.com/crewdle-raises-2-15-million-to-make-video-conferencing-environmentally-friendly/,Anges QuÃ©bec
Croquet,pl7b4k,Seed,8/1/2022,4.8,https://venturebeat.com/business/croquet-makes-it-possible-to-put-hundreds-of-players-into-web-based-multiplayer-action/,"ARKN, SIP, SPATIAL"
Cryptosat,9agce6,Seed,10/1/2022,3,https://www.cointime.ai/flash-news/cryptosat-raises-3-million-to-launch-satellite-into-space-for-bulletproof-cryptography-88157,"at.inc, Follow [the] Seed, GoAhead, HackerLink, Inflection, Matt Pauker, Protocol Labs, Cleo, Bitfwd, Paka"
d.id,4giuvo,Seed,5/1/2020,13.5,https://www.startuphub.ai/investment_rounds/d-id-raises-13-5-million-series-a/,"Hashkey, Nervos, SevenX, SNZ"
d.id,4giuvo,Series A,8/1/2022,13,https://www.cypherhunter.com/es/e/did-id-raised-funding-2022-08-15/,"SNZ, Hashkey, GGoogle, Gsr, CMB International, QingSong"
D3,6y7ind,Seed,9/1/2023,5,https://www.theblock.co/post/249236/shima-capital-backs-domain-name-startup-d3-global-in-5-million-round,"Arthur Hayes, C Squared, Dispersion, Infinite, Kestrel0x1, Lightshift, MZ Web3 Capital, Nonagon, Paul Stahura, Shima, VentureSouq"
Daylight,3lfveq,Seed,5/1/2022,4.2,https://www.businesswire.com/news/home/20221117005401/en/Anode-Labs-Announces-Funding-To-Build-The-React-Network-The-First-Community-Owned-Web3 Capital-Green-Energy-Grid,"Lerer Hippeau, Lattice, VaynerFund, CoinShares, DCG"
dClimate,a5w7th,Seed,4/1/2021,3.5,https://www.prnewswire.com/news-releases/dclimate-raises-3-5-million-seed-round-with-support-from-coinfund-multicoin-capital-and-republic-labs-to-create-the-first-decentralized-network-for-climate-data-301263646.html,"BR, CoinFund, Multicoin, Republic, Carnrite, Climate, Giant, Lightbank, Mark Cuban, Open FieLD, Prithvi, Radical, Sax, Space, SV Pacific, Uush"
DeepBrain,c1de2i,Seed,10/1/2017,4.85,https://golden.com/wiki/DeepBrain_Chain-99B85DK,"Gobi, GSR"
DeepSquare,5ymc3k,Seed,12/1/2021,2.5,,"ESC95, Outlier, White Loop"
Digital Gaia,hq0zgu,Preseed,10/1/2022,0.25,,"Cerulean, Aera Force"
Dimitra,18fpn9,Series A,8/1/2022,20,https://www.accesswire.com/717548/dimitra-incorporated-releases-dimitra-token-raises-65m-to-accelerate-growth-of-connected-farmer-platform,GEM Digital
Dimo,0wr2ea,Seed,2/1/2022,9,https://www.coindesk.com/business/2022/02/15/coinfund-joins-9m-round-for-digital-infrastructure-incs-bid-to-decentralize-vehicle-data/,"Streamr, Wonder, Lattice, Table Management, Slow, Variant, CoinFund, Stratos Technologies, Lattice, Rick Wagoner, Mark Joseph, Amir Haleem, Kiran Bhatraju, Rohit Gupta, Jake Chervinsky, Mason Borda, Trevor McFedries, Michael Cena, Packy McCormick, Jonathan Levine, Sam Teller, Michael Sena, Ben Jacobs, Austin Green, Zach Ware, Amhed Herrera, James Fayal"
Dimo,0wr2ea,Series A,1/1/2024,11.5,https://www.theblock.co/post/272456/decentralized-infrastructure-11-5-million-series-a-coinfund,"CoinFund, Slow, Table Management, Lechuza, Consensys, Borderless, Rick Wagoner"
DLTEO,byzgll,Accelerator,,,,Science Park Graz
Dmail,84v1j0,Preseed,2/1/2022,,,"Dukakis Tejada, Bixin, Black Venture, Daniel James, Draper Dragon, FBG, Hashkey, HG, Nick Myers, Outliers, Paka, Parallel, Spark Digital, Sunny Gar, TsingTing"
Dmail,84v1j0,Seed,7/1/2023,,https://blog.dmail.ai/new-milestone-dmail-closes-pre-a-funding-round/,"Amino, CatcherVC, Gate.io.io, Kretos, KuCoin, LEAD, OIG, Red Swiss Venture, Vespertine, WAGMi"
dotmoovs,lipfwr,Preseed,5/1/2021,0.84,https://chainwire.org/2021/05/12/dotmoovs-raises-840000-from-strategic-investors-and-partners/,"Ascensive, AU21, Building Blocks, Extra Watts, GBV, HG, MarketAcross, Moonrock, MorningStar, Rarestone, Spark Digital"
DTravel,37xksc,Seed,6/1/2021,5,https://www.travolution.com/news/travel-sectors/accommodation/travala-com-raises-5m-to-launch-home-sharing-blockchain-platform-dtravel/,"AU21, DHVC, Extra Watts, Future\Perfect, GBV, Ghaf, Kenetic, LD, Momentum 6, NGC, Old Fashion, Plug and Play, PLUTUnion SquareC, Shima, DWF, Northbund, VC Travel"
Efani,w1b0je,Seed,1/1/2021,2.5,https://www.bizjournals.com/sacramento/inno/stories/news/2022/01/17/efani-smartphones-hackers-crypto.html,"Ali Moiz, Cindy Bi, Elizabeth Yen, Joe Levy, Matthew McDonald, MCMA, Visary"
ELOOP,c0u4u3,Seed,5/1/2022,1.2,https://superangels.club/eloop-raised-new-million-investment/,"Andreas Ivanschitz, C&P Immobilien, Christian Trummer, European Unionropean Super Angels Club, Venionaire, W3, The Sharing Group, Lucky Car"
Energy Web,tjcjjf,Accelerator,8/1/2017,16.5,,"Centrica, Elia Asset, Equinor, Sempra Energy, Shell, SP Group., Stedin Holding, Tokyo Electric"
Energy Web,tjcjjf,Preseed,1/1/2018,,,"BaseTech, Chateau Crypto, Peak Sustainability, Token, Blockchain Capital, Radicle Impact, Vito, Innogy, UPC, Google"
Entheos,0if1hs,Seed,6/1/2023,,,"186 Ventures, Avalanche, Monoceros"
EpiK,0lasch,Seed,4/1/2021,8,,"7 O'clock, Arcanum, CatcherVC, ChainUP, ChinaNet, Collinstar, Consensus Lab, Crypto Venture, FBG, Gleneagles Securities, JackDaw, K24, Lancer, Nebulas, RedBlock, Spring, SuperChain"
EtherMail,hoaz0e,Preseed,7/1/2022,3,https://www.prnewswire.com/news-releases/ethermail-raises-3m-in-seed-round-funding-from-top-vcs-fabric-and-greenfield-one-to-enable-anonymous-wallet-to-wallet-email-communication-to-200-million-users-worldwide-301603710.html,"Fabric, Greenfield, Rene Reinsberg"
EtherMail,hoaz0e,Seed,3/1/2023,4,https://www.theblock.co/post/217761/tim-draper-joins-ethermails-advisory-board-leads-4-million-raise,"Draper Associates, Celo, Stake, MS&AD"
Ethstorage,2kn4hu,Seed,7/1/2023,7,https://www.cryptotimes.io/etherEuropean Unionm-layer-2-rollup-ethstorage-raised-7m-in-seed-round/,"Avant Blockchain, Cloud Nine, dao5, DragonRoark, Foresight, FutureMoney, Galxe, Gate.io, Geekcartel, Rebase D., SevenX, Sky9, Vitalbridge, W3.Hitchhiker"
everVision,zr5vzn,Preseed,5/1/2021,1,,"A&T, Arweave, D1Ventures, Digital Renaissance, DODO, Hashkey, Hongbo Tang, Mask Network, Mingda Lei, OKX, SevenX, Big Brain, Hash Global, Huobi"
Exabits,ks1fra,Preseed,6/1/2023,0.3,https://twitter.com/exa_bits/status/1753121707806826800,"Outlier, Valkyrie, Protocol Labs, Big Brain, Outlier, Blockchain Builders, Plassa, Taisu, Fortified, LBank Labs, Paramita, Moonhill, IoTeX"
EYWA,tbwx5g,Preseed,1/1/2022,0.27,,"Coinex, Algorand, Aurora, Bobas Network, Harmony One, NEAR, Big Brain, BR, Criterion, DDAO Hunters, Droid, G1, InnMind, JI, Kondr, Mapleblock, Metis, Mulana, Polygon, RSquad, Supra, Unreal, Vespertine, Xtream"
EZ WiFi,oazct0,Preseed,1/1/2023,0.17,https://profit.pakistantoday.com.pk/2022/01/12/ezwifi-raises-six-figure-amount-in-pre-seed-funding-as-it-gears-up-internet-sharing-service/,"Deosai, Techstars, Naeem Zamindar"
Fanztar,94944x,Preseed,5/1/2022,0.65,https://economictimes.indiatimes.com/tech/funding/Web3 Capital-creator-monetisation-platform-fanztar-raises-rs-5-crore-in-funding-led-by-india-quotient/articleshow/91510305 Ventures.cms?from=mdr,"Ankush Sachdeva, Bhanu Singh, India Quotient, Manohar Charan, Mohammad Ahsan, Sarthak Misra, Tarsame Mittal"
Fetch.ai,mhpovr,Seed,6/1/2018,15,https://www.cypherhunter.com/zh-hans/e/fetch-ai-raised-funding-2018-06-11/,"Asteroid, CODELTA, Spark Digital, BlockWall, Signal, Visionz, Lemniscap, Outlier"
Fetch.ai,mhpovr,Seed,3/1/2021,5,https://www.coindesk.com/markets/2021/03/10/fetchai-nabs-5m-in-institutional-investment-fireblocks-to-add-support-for-fet-token/,"Fireblocks, GDA, GDA, Next"
Fetch.ai,mhpovr,Series A,3/1/2023,40,https://www.coindesk.com/business/2023/03/29/ai-focused-crypto-protocol-fetchai-raises-40m-to-deploy-decentralized-machine-learning/,DWF
Fetch.ai,mhpovr,Series A,3/1/2023,39.2,https://www.coindesk.com/business/2023/03/29/ai-focused-crypto-protocol-fetchai-raises-40m-to-deploy-decentralized-machine-learning/,"Asteroid, DWF, KOI"
Fetch.ai,mhpovr,Series A,4/1/2023,10,https://cointelegraph.com/news/bitget-pledges-10m-for-fetch-ai-ecosystem-amid-chatgpt-boom,Bitget
Fetch.ai,mhpovr,Series A,4/1/2023,10,https://cointelegraph.com/news/bitget-pledges-10m-for-fetch-ai-ecosystem-amid-chatgpt-boom,Bitget
Filebase,ush02g,Seed,3/1/2021,2.01,https://www.datanami.com/this-just-in/filebase-raises-2m-led-by-multicoin-capital-to-unify-decentralized-storage-networks/,"Multicoin, Ryan Selkis, Version One"
Filecoin,r1uv9t,Seed,5/1/2016,3.73,,"DCG, Working, Hard Yaka, Haystack, BlueYard, Union Square, StartX, FundersClub, Blockchain Capital, Notation, Boost, Jaan Tallinn, DHVC, Sam Altman, Semil Shah, Fred Ehrsam, Dylan Field, Naval Ravikant, Vinny Lingham, Nebari Holdings, Winklevoss, YC"
Filecoin,r1uv9t,Series A,9/1/2017,257,https://www.coindesk.com/markets/2017/09/07/257-million-filecoin-breaks-all-time-record-for-ico-funding/,"Sequoia, a16z, Union Square, Genblock, SNZ, TrueWay, Bitrise, Metaplanet, DoublePeak, Waterdrip, E-Merge, Staked.vc, Draft, Knickerbocker, Cipholio, Moonwhale, Magnetic Management, Ausum, Referent, Skywater, Mint, ArkStream, Polychain, Graycell, Gravity, Cognitive Blockchain, Cluster, R2, IOSG, Greg Kidd, Meg Nakamura, Charles Songhurst, Blocktech, Vinny Lingham, Lattice, NGC, Qwerty, Fantail, FJ Labs, Continue, Inflection, Northbund"
FileStar,h7mk5k,Seed,1/1/2021,5,https://www.nasdaq.com/articles/hashkey-capital-co-invests-%245m-in-decentralized-storage-project-filestar-2021-01-12,Hashkey
Firstbatch,xjzev4,Preseed,6/1/2022,,,"Arweave, Cem Kozinoglu, Foresight, QNB, Sam Lang, Signum, Hansa Network"
Fission,dkaff9,Preseed,8/1/2019,0.4,,"Lance Tracey, Lanebury Growth, Outlier"
Fission,dkaff9,Seed,11/1/2022,5,,"Artichoke, BlueYard, Fenbushi, Figment, Huobi, Protocol Labs, Samsung NEXT, Consensys"
Fluence,ul9uzl,Seed,6/1/2018,,,"1kx, 8 Decimal"
Fluence,ul9uzl,Series A,2/1/2022,9,https://decrypt.co/93090/cloud-9-million-fluence-labs-raises-cash-aims-liberate-Web3 Capital-aws,"Alameda, Arweave, Multicoin, OP Crypto, Polymorphic, Protocol Labs, Reframe, Signum, StreamingFast, Tiger Global, UOB, Hard Yaka"
Fog Works,aqg014,Seed,8/1/2022,3,https://www.finsmes.com/2022/08/w3-storage-lab-raises-3m-in-pre-seed-financing.html,"Draper Dragon, Lingfeng, Lingfeng, OKX"
Freatic,php632,Seed,9/1/2023,3.6,https://unchainedcrypto.com/a16z-leads-3-6m-fundraise-for-crypto-firm-freatic/,"Anagram, a16z, Archetype, Arweave, Jutta Steiner, MacLane Wilkison, Meltem Demirors, Not3Lau, Robot, Stefano Bernardi, Stephane Gosselin"
GamerCoin,z2gapv,Preseed,7/1/2018,0.27,,i systems
Gelato,lvwe8x,Seed,9/1/2020,1.2,https://finance.yahoo.com/news/gelato-network-raises-1-2-140117420.html,"Christoph Jentzsch, D1Ventures, Galaxy Digital, Gnosis, IOSG, MetaCartel, Ming Ng"
Gelato,lvwe8x,Series A,9/1/2021,11,https://www.coindesk.com/business/2021/09/30/gelato-raises-11m-as-smart-contract-automation-market-heats-up/,"6th Man, Bloccelerate, Blue7, Dragonfly, Hack, IDEO CoLab, Nascent, ParaFi, Staking Facilities, Stani Kulechov, ZEuropean Unionth, The LAO, IOSG"
Genomes.io,lfu9ni,Series A,8/1/2023,20,,"GEM Digital, Igniter100"
Geodnet,scli9r,Seed,7/1/2023,1.5,https://medium.com/borderless-capital/borderless-leads-a-1-5m-investment-into-geodnet-to-bring-high-accuracy-positioning-to-the-masses-ccd2c1b9ce97,"Borderless, Modular"
GIANT,jl19aq,Accelerator,8/1/2018,,,"Argonautic, gumi Cryptos, Tata, Berkeley Xcelerator, Bronco Venture"
GIANT,jl19aq,Seed,12/1/2021,5,https://www.businesswire.com/news/home/20211216005703/en/GIANT-Protocol-Raises-5-Million-Seed-Round-Led-by-CoinFund,"Blockchange, CoinFund, Entheos, Transpose, Wireless Broadband Alliance"
GitPOAP,2fl69i,Seed,4/1/2022,4.28,https://www.prnewswire.com/news-releases/gitpoap-raises-over-4-2-million-usd-in-seed-funding-to-memorialize-professional-contributions-and-accomplishments-as-blockchain-based-badges-301608123.html,"Anthony Sassano, Avalanche, Balaji Srinivasan, Inflection, Libertus, Mariano Conti, POAP, Protocol Labs, Superphiz"
Giza,nlkbyo,Seed,7/1/2023,3,https://www.businesswire.com/news/home/20230711269424/en/Giza-Raises-3M-Pre-Seed-Led-by-CoinFund-to-Bring-Artificial-Intelligence-to-Web3 Capital-Smart-Contracts,"Arrington, CoinFund, Julien Bouteloup, Rand Hindi, StarkWare, TA"
GoQii,tkkrfm,Series A,11/1/2015,13.4,https://yourstory.com/2015/11/goqii-series-a-funding,"Cheetah Mobile, Great Wall Club, Ilkka Paananen, Pravin Gandhi, Smart Start, Kanwaljit Bombra, Madhuri Dixit Nene, Prashant Gulati, Sanjay Vaswani, Vijay Sharma, Deepak I. Shahdadpuri, DSG Consumer, Marco Argenti, Amit Singhal, Bharat Vasan, Esther Dyson, Mahesh Samat, Mike McNamara, Sanjay Parthasarathy, Steven Luczo, Taher Khorakiwala"
GoQii,tkkrfm,Series A,11/1/2018,27.9,https://entrackr.com/2018/11/goqii-fund-30-mn-mitsui-co/,"Denlow Trust, Edelweiss, Galaxy Digital, Galaxy Interactive, Gautam Godhwani, Mitsui, Neeraj Arora, Rajan Anandan, Ratan Tata, Sivaramakichenane Somasegar, Vijay Vashee"
GoQii,tkkrfm,Series B,9/1/2019,10.5,https://entrackr.com/2019/09/goqii-raises-rs-45-cr-from-bccl/,"Akshay Kumar, Anil Godhwani, Bennett Coleman, Brand, Green Era, Kapil Dev, MegaDelta"
GoQii,tkkrfm,Series C,2/1/2022,50,https://www.livemint.com/companies/start-ups/healthcare-platform-goqii-raises-50-mn-led-by-sumeru-ventures-11644996336018.html,"9Unicorns, Akbar Khan, Animoca, Ascendo, Block.one, G-Startup Worldwide, Kaval Bombra, Modalityhip, P. Gulati, Sanjay Narang, Shriram Nene, Sumeru, Venture Catalysts, Galaxy Digital, Mitsui, MegaDelta, DSG Consumer, GWC, Ratan Tata, Vijay Sharma"
Goracle,x4c5qz,Seed,5/1/2022,1.5,https://www.startupticker.ch/en/news/blockchain-startup-secures-1-5-million,"Algorand, Big Brain, Borderless, EXA Market, GMI, OrcaDAO, Parea, Valhalla"
GPU,jf4ml9,Preseed,8/1/2023,0.5,https://www.globenewswire.com/news-release/2023/08/30/2734002/0/en/GPU-Net-Raises-500K-from-Momentum-6-Alphablockz-Nvidia-Backs-Testnet-Launch.html,"Momentum 6, Alphablockz"
Greensparc,j8knk9,Accelerator,11/1/2022,0.2,,"49th State Angels, Launch Alaska"
Growfitter,8ve4hw,Preseed,6/1/2017,0.6,https://entrackr.com/2017/06/health-startup-growfitter-raises-600k-pre-series-funding-expand-fitness-services/,"Hari Bhatia, Mintosh, Alchemist, SQue"
Growfitter,8ve4hw,Seed,8/1/2022,1.5,https://economictimes.indiatimes.com/tech/funding/shark-tank-featured-growfitter-raises-1-million-in-funding-led-by-inflection-point-ventures/articleshow/90257919.cms?from=mdr,"Aman Gupta, Baksh, Blockchain Founders Fund, DevX, FirstPort, Inflection Point, JPIN, MAVM Angels, Mohit Burman, Startup Angel Network, Venture Catalysts, Talwalkars"
Handshake,m9gkfk,Seed,7/1/2018,10.2,https://twitter.com/HNS/status/1744237732992593976,"a16z, Founders, Greylock, Polychain, Sequoia, Wave, Yang, 0, Access, Amentum, Ausum, DCM, Genblock, Hashed, Iconium, SNZ, VironIT, Visary, VYSYN, Fair2Lab"
Healthtracka,mq0qgk,Seed,6/1/2022,1.5,https://techcrunch.com/2022/06/21/nigerian-at-home-lab-testing-platform-healthtracka-gets-1-5m-backed-by-female-vcs/,"Alumni Angels Alliance, Healthcap, HoaQ, Hustle, Ingressive, Akazi, FirstCheck, Stone Mountain"
heata,mcke93,Seed,9/1/2023,1,https://guide.dadupa.com/british-cloud-computing-startup-heata-raises-1m-to-further-develop-its-low-carbon-cloud-compute-network/,"Green Angels, Brookfund, Sustainable, British Gas"
Helium,5bm99m,Series A,10/1/2014,16,https://techcrunch.com/2014/12/09/helium/,"Khosla, FirstMark, Digital Garage, Marc Benioff, SV Angel, Slow, David Morin, Jeffrey Schox, Shawn Fanning"
Helium,5bm99m,Series B,4/1/2016,20,https://www.businesswire.com/news/home/20160425005330/en/Helium-Raises-20-Million-Series-B-Funding-Round-to-Accelerate-Smart-Sensing-Solutions,"Google, Khosla, FirstMark, Munich Re"
Helium,5bm99m,Series C,6/1/2019,15,https://www.finsmes.com/2019/06/helium-raises-15m-in-series-c-funding.html,"Capital Factory, Fantail, FirstMark, Google, Khosla, Multicoin, Munich Re, Union Square, Uush"
Helium,5bm99m,Series D,2/1/2022,200,https://www.coindesk.com/business/2022/02/18/crypto-powered-wireless-network-helium-raises-200m-at-12b-valuation-report/,"Tiger Global, Google, Munich Re, FTX, Goodyear, Liberty Global, TelefÃ³nica Tech, DEuropean Uniontsche Telekom, TRCM, Corner, Alumni, Floating Point, Color, AU21, CMT Digital, Lontra, Third Prime, NGP, Khosla, FirstMark, Multicoin, a16z, Ribbit, Token, Hard Yaka, Pantera, Seven Seven Six, CRT Labs, Hivemind, CaptureAlpha, Dispersion, RW3, Blockchain Fond, Northbund, Uncorrelated, Raptor, Hack, L1 Digital, LightShed, Ash Park, Litani"
Hexagon,vwstsz,Seed,5/1/2022,2,https://www.globenewswire.com/news-release/2022/05/19/2447081/0/en/Hexagon-Wireless-Raises-2-Million-To-Build-Decentralized-Wireless-Networks.html,"Hypersphere, Mahesh Ramakrishnan, Mechanism, Salvador Gala, Superfluid"
Hivello,560f30,Seed,2/1/2024,2.5,https://www.prnewswire.com/news-releases/hivello-announces-upsized-funding-round-raising-usd-2-5m-amidst-high-demand-302049350.html,"Blockmate, Univid, Blockchange, Cypher, MH, Primal, Contango, Candaq, NGC, Blockchain Founders Fund, IDG"
Hivemapper,o1qnxa,Seed,11/1/2015,3,,"Spark, Harrison Metal, Google, Homebrew, Founder Collective"
Hivemapper,o1qnxa,Series A,4/1/2022,18,https://www.businesswire.com/news/home/20220405005894/en/Hivemapper-Raises-18M-From-Multicoin-Capital-to-Create-the-World%E2%80%99s-First-Decentralized-Mapping-Network,"Multicoin, Craft, Solana, Shine, 75&Sunny"
HOPR,rdr178,Seed,7/1/2020,1,https://www.coindesk.com/business/2020/07/09/binance-labs-leads-1m-seed-round-in-crypto-tor-alternative-hopr/,"ArkStream, AU21, BlackDragon, Caballeros, Chronos, Drops, Focus Labs, MintedLab, Rubin, Spark Digital, Staked.vc, Synaitken, VBC, Vendetta, ZMT, Edge & Node, Ankr, Dusk Network, Harmony One"
Hotspotty,8hmhev,Preseed,8/1/2022,,,"FutureMoney, Samsung NEXT"
Humanode,ful6z6,Preseed,6/1/2021,1,,GravityX
Humanode,ful6z6,Seed,2/1/2022,2,https://cointelegraph.com/press-releases/humanode-raises-2-million-while-testnet-hits-1-650-unique-validators,"AU21, Avalanche, CSP, Genblock, Jaynti Kanani, Republic, Sandeep Nailwal, Shima, Stafi, Tribe, Wintermute, Polka Bridge, Cogitent, Follow [the] Seed, GD1Ventures0, Nine2Five, Yellow Spoon, Tenzor"
Hyper Oracle,l6awms,Seed,1/1/2023,3,https://www.theblock.co/post/204061/sequoia-china-and-dao5-back-zk-startup-hyper-oracle,"dao5, Foresight, FutureMoney, HongShan, Skyland, SevenX"
Hyperbolic,8heoo1,Preseed,1/1/2022,0.7,,"Chapter One, Samsung NEXT, Modular"
Hyperspace,oevejl,Seed,11/1/2021,11,https://www.wamda.com/2021/11/dubai-based-hyperspace-raises-11-million-seed-round,"Bolur, Introsight, KE, Mohammed Afkhami, Rafael Ilishayev, Scott Ross, Yakir Gola"
Hyperspace,oevejl,Series A,10/1/2023,55,https://www.thenationalnews.com/business/start-ups/2023/10/05/riyadhs-hyperspace-raises-55m-to-scale-operations/,"Galaxy Interactive, K5, Apis Venture, Segal"
Iagon,omgud6,Seed,6/1/2021,3.4,https://www.investing.com/news/cryptocurrency-news/iagon-raises-34m-funding-to-build-first-data-platform-on-cardano-2545346,"Alphabit, AU21, BH, Blockchain Israel, CoinsGroup, Darren Camas, Faculty, GBV, Genblock, Kirin, Launchpool, LedgerLink, LlamAS, Next Chymia, Panda, PANONY, Trustdao, X21"
Integritee,6hlk6x,Seed,11/1/2021,4.5,https://www.coindesk.com/business/2021/06/17/blockchain-privacy-firm-integritee-raises-2m-ahead-of-kusama-parachain-auction/,"Brotherhood, CoinF, K300, LBank Labs, MG, Alves, AU21, Black Mamba, Czhang Digital, Digital Finance, FBG, Gate.io.io, GFS, Hotbit, LD, NGC, OKX, OKX"
IO.Net,61zuw7,Seed,10/1/2023,,,Multicoin
IOTA,gobzn5,Seed,3/1/2018,,,"Almora, Ledger, Universal, WAGMi, West Labs, Startup Autobahn"
IoTeX,oqhdss,Series A,6/1/2022,10,https://www.coindesk.com/business/2022/06/07/machinefi-lab-raises-10m-to-incentivize-iot-data-collection-for-web-3/,"AG Build, AlphaGrep Securities, Crypto.com, DHVC, Draper Dragon, Escape Velocity, Goodwater, Hanwha, Hashkey, IOSG, NewBuild, Samsung NEXT, Vista Lab, Wemade, Wintermute, Xoogler, NGC"
